ID,Fecha_de_creacion_usuario,Fecha_creacion_del_tweet,nombre_usuario,texto,localizacion,numero_seguidores,numero_seguidos,numero_retweets,numero_tweets,numero_favoritos,menciones,retweet
1662782591873822723,09/08/07,23/05/28,Elenasalamanca,"RT @el_pais_madrid: Las claves de las elecciones a la Comunidad de Madrid: un test de fuerza para Ayuso, la lucha de Más Madrid y PSOE  por…",,376,132,5,65496,52565,['el_pais_madrid'],el_pais_madrid
1662782568326995968,15/06/11,23/05/28,aquelciudadano,"RT @sikokosmik: #28MValentíaParaTransformar
Mi mayor deseo hoy es que Madrid corrija el error de las anteriores elecciones y Ayuso pierda e…",,672,1484,4,112135,168509,['sikokosmik'],sikokosmik
1662782537607806977,10/10/15,23/05/28,manuelgran65,RT @Rafael_Narbona: Vivo en la Comunidad de Madrid y en las elecciones de mañana votaré a la izquierda. No me entusiasman ninguna de sus si…,"Madrid, Comunidad de Madrid",4043,4048,826,46020,68714,['Rafael_Narbona'],Rafael_Narbona
1662782485107752963,10/02/16,23/05/28,rpardoalmudi,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,Pucela 🏡,2102,1341,302,111431,84515,['Mapecuesta331'],Mapecuesta331
1662782436608966657,07/10/26,23/05/28,COPE,#COPE28M | #Ampliación Alberto Núñez Feijóo confía en la “transparencia” del resultado electoral tras votar por primera vez en Madrid https://t.co/VByV30ljxs https://t.co/R8TRriXDJk,"Madrid, Comunidad de Madrid",234,525927,0,328579,1385,[],
1662782415352262656,09/12/22,23/05/28,madridespain,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,"Comunidad Valenciana, España",5486,4984,302,62162,73823,['Mapecuesta331'],Mapecuesta331
1662782392250056710,19/07/17,23/05/28,TrainerExtreme,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",,644,18483,18,165060,158373,['Otto_Mas'],Otto_Mas
1662782254999826432,20/05/07,23/05/28,VBrisach,"@Angus_Rodri En Madrid, que da datos antes que a nivel nacional, va tres puntos por encima de las elecciones de 2021",,8035,11214,0,9838,86825,['Angus_Rodri'],
1662782237253726211,10/06/01,23/05/28,zar1716,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",Murcia,990,633,18,17609,1092,['Otto_Mas'],Otto_Mas
1662782236435808256,11/08/29,23/05/28,ElHuffPost,"ÚLTIMA HORA: sube tres puntos la participación en la Comunidad de Madrid respecto a las elecciones de 2019, hasta la una de la tarde #28M https://t.co/CjcCitDI7s","Madrid, Spain",2207,588186,7,674476,2059,[],
1662782229204852737,18/01/20,23/05/28,An_Marids,"RT @elconfidencial: La candidata socialista al Ayuntamiento de Madrid, Reyes Maroto, ha hecho un llamamiento a los madrileños para que este…",,132,48,2,6701,6833,['elconfidencial'],elconfidencial
1662782215321681921,20/04/26,23/05/28,matcleckheaton,RT @Alejandro_vara: No puede pisar la calle ni para votar.  https://t.co/sxp7yq4caZ a través de @voz_populi,,322,209,26,14611,79163,"['Alejandro_vara', 'voz_populi']",Alejandro_vara
1662782169217892353,22/08/11,23/05/28,AnaIsab05828421,RT @publico_es: ¿Tiene Almeida dos caras? David Torres asegura que el alcalde de Madrid es de una forma con los débiles y de otra muy difer…,,215,51,142,6770,7751,['publico_es'],publico_es
1662782160518930433,15/10/23,23/05/28,cristinaacencio,"RT @cs_moncloa: 🗳️ En la ciudad de Madrid, el dato es muy similar: un 29,27%. 

🗳️ En Alcobendas baja algo más de dos puntos, situándose en…",,974,904,1,159096,218024,['cs_moncloa'],cs_moncloa
1662782086313394178,09/12/07,23/05/28,juanitocharlie,"RT @ElHuffPost: Sotomayor: ""La colleja que le va a dar el pueblo de Madrid a Almeida va a ser clara y contundente"" #28M
https://t.co/oA3YlG…",,158,182,99,33082,65413,['ElHuffPost'],ElHuffPost
1662782081775067136,16/04/23,23/05/28,carvitw,"RT @eldebate_com: 🗳 #28M | Así han ejercido su derecho al voto algunos de los candidatos de estas elecciones

🇪🇸 Ortega Smith: «Por Madrid…","Madrid, Comunidad de Madrid",185,99,2,15965,22838,['eldebate_com'],eldebate_com
1662782041379807234,11/11/07,23/05/28,Listuja,"RT @IdiazAyuso: Entrevista en @20m: 

El domingo hay que ir a votar masivamente.
https://t.co/kRQE2Gnsiz","Madrid, Comunidad de Madrid",529,748,584,57741,63741,"['IdiazAyuso', '20m']",IdiazAyuso
1662781990079279105,12/01/16,23/05/28,luismanchado1,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",,203,234,18,37759,36471,['Otto_Mas'],Otto_Mas
1662781979731918849,23/01/17,23/05/28,ClaraPr94456484,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",,453,164,18,25774,29303,['Otto_Mas'],Otto_Mas
1662781979702579201,09/08/09,23/05/28,tonocalleja,RT @PalomaEsteban: El PSOE mide hoy si el fenómeno del ‘antisanchismo’ es extensible a toda España o si Madrid es una isla. Sánchez decidió…,Nací en Gijón (Asturias).,3943,4508,3,18470,19252,['PalomaEsteban'],PalomaEsteban
1662781759476342788,22/01/11,23/05/28,mpenadeslpz,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…","San Lorenzo, Castilla",1246,399,281,12350,149490,['elmundotoday'],elmundotoday
1662781750697762817,12/09/03,23/05/28,lunavirgi008,"RT @sikokosmik: #28MValentíaParaTransformar
Mi mayor deseo hoy es que Madrid corrija el error de las anteriores elecciones y Ayuso pierda e…",,5225,5055,4,117437,132768,['sikokosmik'],sikokosmik
1662781700588404736,15/10/17,23/05/28,Seve2021,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…","Palma, Sevilla, Valladolid",7494,7770,18,148813,131855,['Otto_Mas'],Otto_Mas
1662781650541920256,13/10/22,23/05/28,EsterKattyAnna,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",,6771,17701,281,470145,835961,['elmundotoday'],elmundotoday
1662781648365125635,11/08/29,23/05/28,ElHuffPost,"Robadas las papeletas de Unidas Podemos en un colegio de La Moraleja (Madrid), informa @el_pais #28M 

https://t.co/oA3YlGhDe7","Madrid, Spain",2207,588186,1,674476,2059,['el_pais'],
1662781641083764738,11/12/10,23/05/28,DK_1521,@nanoozuna ¿Por qué pones un video de las anteriores elecciones de Madrid en el que ni siquiera eres tú el del vídeo?,,429,286,0,35579,1160,['nanoozuna'],
1662781589926076422,13/06/09,23/05/28,mcriado10,"RT @telemadrid: 🗳️Este domingo, Madrid decide. A partir de las 19h, estaremos en directo para dar el resultado de estas elecciones autonómi…",,384,204,6,126459,513,['telemadrid'],telemadrid
1662781576986648577,23/01/06,23/05/28,MercedesBenche1,RT @el_pais_madrid: DIRECTO 28-M |  El candidato al Ayuntamiento de Madrid Luis Cueto (izquierda) llega a votar a un colegio de la capital.…,,188,28,7,265,1078,['el_pais_madrid'],el_pais_madrid
1662781537694146563,13/02/25,23/05/28,deivid_cn,"RT @Otto_Mas: La participación en Madrid a esta hora es 4 puntos mayor que en 2019 y 2 respecto a las últimas elecciones.
Espero que sea vo…",España,1202,1104,18,341326,5586,['Otto_Mas'],Otto_Mas
1662781522049486849,16/05/09,23/05/28,IsabelMartn16,RT @Rafael_Narbona: Vivo en la Comunidad de Madrid y en las elecciones de mañana votaré a la izquierda. No me entusiasman ninguna de sus si…,,67,17,826,3039,10812,['Rafael_Narbona'],Rafael_Narbona
1662781466978271232,11/04/05,23/05/28,valsalpillastre,RT @tomascasascm: #28MValentíaParaTransformar ¿Será José Luis Martínez-Almeida el gran perdedor de estas elecciones del 28M gracias a la en…,España,1241,556,40,49700,57141,['tomascasascm'],tomascasascm
1662781357951684608,11/02/20,23/05/28,soledad_murillo,"RT @sonjafem: @soledad_murillo Así es, somos abolicionistas porque somos feministas.
Y estas elecciones son municipales y autonómicas y en…",Salamanca - España,1962,15922,6,11851,4742,"['sonjafem', 'soledad_murillo']",sonjafem
1662781299017363457,11/01/02,23/05/28,Pelenagolden,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",,606,356,281,143153,182640,['elmundotoday'],elmundotoday
1662781285993938945,10/07/24,23/05/28,pedripol,RT @Rafael_Narbona: Vivo en la Comunidad de Madrid y en las elecciones de mañana votaré a la izquierda. No me entusiasman ninguna de sus si…,de Cádi,716,15708,826,63793,64361,['Rafael_Narbona'],Rafael_Narbona
1662781156368998403,14/05/19,23/05/28,francorgar68,"RT @sikokosmik: #28MValentíaParaTransformar
Mi mayor deseo hoy es que Madrid corrija el error de las anteriores elecciones y Ayuso pierda e…",Oviedo,1930,1807,4,32839,32070,['sikokosmik'],sikokosmik
1662781142582415360,15/09/10,23/05/28,OrvizBelen,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,,543,248,302,47489,18011,['Mapecuesta331'],Mapecuesta331
1662781130477543426,11/02/11,23/05/28,VidalJuanma,"RT @europapress: Rita Maestre (Más Madrid) espera ""la condena de Vox y de todos los partidos"" por el insulto tránsfobo recibido por su comp…","Madrid, España",4487,5825,9,178629,63872,['europapress'],europapress
1662781083052548098,19/06/11,23/05/28,oisfijate,"RT @elmundotoday: ⚡️DIRECTO #28M #eleccionesEMT

Arrancamos el seguimiento en directo de las elecciones autonómicas y municipales y de la v…",La Parra,861,197,281,27370,95817,['elmundotoday'],elmundotoday
1662781028631445505,21/04/30,23/05/28,Rosa63220690,RT @Mapecuesta331: Florentino Pérez ha dejado atado los mayores urbanísticos de Madrid antes de las elecciones. Ayuso le adjudica Ciudad de…,,696,481,302,91575,93221,['Mapecuesta331'],Mapecuesta331
